Question	Answer	Source
What to do if there's a riot?	Should you witness an unruly individual or crowd or somone that threatens your safety, call 911. Do  nothing  to  antagonize  the  demonstrators.  Inform all other personnel to do likewise. ERT members will lock the building entrances and exits if possible. Close all drapes in exterior rooms and then avoid window areas.  You could become a target. Lock all doors. Leave the area of disturbance to prevent injury or possible arrest. Report to the core area of the building (away from the exterior of the building). Use good judgment and remain calm and stay in  your area unless you are in an unsafe position or instructed to leave by Police. Secure all valuable materials in a safe place or at least out of sight. Withdraw from the area until its  safe to enter.  Your  safety  is the primary concern. If a disturbed person enters the premises, keep calm, be courteous and avoid an incident. Avoid actions or verbal responses that may provoke the situation. Avoid arguments, provocative statements or entering into a debate with a participant. They have entered the  building  to  propagandize,  confront or  agitate  the  building's  occupants.  Let  them make their point. Frustrating them is  dangerous and provocative. Do not try to reason with them.	Editorial
What is a bomb shelter?	There are two kinds of shelters:  **Blast shelters** are specifically constructed to offer some protection against blast pressure, initial radiation, heat and fire. But even a blast shelter cannot withstand a direct hit from a nuclear explosion. **Fallout shelters** do not need to be specially constructed for protecting against fallout. They can be any protected space, provided that the walls and roof are thick and dense enough to absorb the radiation given off by fallout particles.	Editorial
How to use a fire extinguisher?	Remove the extinguisher from its place and hold unit upright. Stand back 8 to 10 feet from the fire. Follow the acronym PASS. Pull the retaining pin. Aim the nozzle at the base of the flames, and Squeeze the   handle   completely.   This will discharge the extinguishing agent at the fire. Use a sweeping motion from side-to-side. Sweep from side to side. Go slightly beyond the fire area with each pass. Once the fire is out wait before leaving the area. You may need to make a further application, in case the fire re-ignites. Cover your mouth and nose whenever possible with a wet cloth. When you extinguish a fire, a great amount of smoke may be generated, so be very careful. The smoke may also generate noxious fumes, exercise caution.  Smoke inhalation is the major cause of fire deaths in this country. Begin evacuation procedures if it   is   not feasible to use an extinguisher. Close as many doors and windows behind you as possible to contain the fire to  the smallest area.	Editorial
What to do in a missile attack?	Duck and cover under a hard surface such as a sturdy desk or table. Face away from any windows. Stay clear of tall objects that may tilt and topple over. If you can, evacuate to the lowest level of the building or to its core or stairwell.	Editorial
there's a bomb attack	Duck and cover under a hard surface such as a sturdy desk or table. Face away from any windows. Stay clear of tall objects that may tilt and topple over. If you can, evacuate to the lowest level of the building or to its core or stairwell.	Editorial
There's a man with a gun.	**RUN and escape, if possible.** Getting away from the shooter or gunmen\n is the top priority. Leave your belongings behind and get away. Help others escape, if possible, but evacuate regardless of whether others agree to follow. Warn and prevent individuals from entering an area where the active shooter may be. Call 911 when you are safe, and describe shooter, location, and weapons. **HIDE, if escape is not possible.** Get out of the shooter's view and stay very quiet. Silence all electronic devices and make sure they won't vibrate. Lock and block doors, close blinds, and turn off lights. Don't hide in groups- spread out along walls or hide separately to make it more difficult for the shooter. Try to communicate with police silently through text message or social media- so they know geo-tagged location, or by putting a sign in\n a window. Stay in place until law enforcement gives you the all clear. Your hiding place should be out of the shooter's view and provide protection if shots are fired in your direction. **FIGHT as an absolute last resort.** Commit to your actions and act as aggressively as possible against him/her. Recruit others to ambush the shooter with makeshift weapons like chairs, fire extinguishers, scissors, books, etc. to distract and disarm the shooter. Be prepared to cause severe or lethal injury to the shooter. Throw items and improvise weapons.	Editorial
What if there is a bomb?	Determine as much about the object (bomb)  as you can. Check your surroundings for out-of-place or unknown objects. If a suspicious object\n is in sight, immediately go as far away as possible from the object and warn others in the immediate area. Use the Bomb Threat Checklist to gather information. https://www.dhs.gov/sites/default/files/publications/dhs-bomb-threat-checklist-2014-508.pdf	Editorial
there's a bomb	Determine as much about the object (bomb)  as you can. Check your surroundings for out-of-place or unknown objects. If a suspicious object\n is in sight, immediately go as far away as possible from the object and warn others in the immediate area. Use the Bomb Threat Checklist to gather information. https://www.dhs.gov/sites/default/files/publications/dhs-bomb-threat-checklist-2014-508.pdf	Editorial
Someone's bleeding.	Locate the First Aid Kit.  Follow this link for detailed instructions on how to stop bleeding from different types of wounds. http://www.sja.org.uk/sja/first-aid-advice/bleeding.aspx	Editorial
someone's cut	Locate the First Aid Kit.  Follow this link for detailed instructions on how to stop bleeding from different types of wounds. http://www.sja.org.uk/sja/first-aid-advice/bleeding.aspx	Editorial
someone's bleeding	Locate the First Aid Kit.  If bleeding is severe, call 911 then Follow this link for detailed instructions on how to stop bleeding from different types of wounds. http://www.sja.org.uk/sja/first-aid-advice/bleeding.aspx	Editorial
Someone's having a heart attack.	Call 911, Locate the Defibrillator and follow these directions:  http://sja.org.uk/sja/pdf/How%20to%20use%20a%20defibrillator.pdf	Editorial
Someone's choking	If its an adult, follow this link: http://www.sja.org.uk/sja/first-aid-advice/breathing/choking-adults.aspx  \nIf its a child, follow this link: http://www.sja.org.uk/sja/first-aid-advice/first-aid-for-parents/choking-advice-for-parents/choking-child.aspx	Editorial
